Hungarian,English
a,the
nem,no
az,the
hogy,that
és,and
egy,one
van,have
ez,this
is,too
de,but
meg,and
csak,just
ha,if
mi,we
én,I
azt,it
volt,was
igen,Yes
vagy,obsession
kell,must
el,get away
itt,here
már,already
még,even
ne,not
te,you
ki,Who
mit,what
ezt,this
vagyok,I'm
most,now
jó,good
tudom,I know
úgy,business
miért,Why
akkor,then
mint,as
ő,He
jól,well
lesz,become
nagyon,very
nincs,there is no
mert,because
minden,all
sem,nor
amit,what
olyan,such
rendben,in order
így,so
be,in
volna,would be
oké,okay
nekem,me
le,juice
fel,up
tudod,you know
ott,there
lehet,may
valami,something
majd,then
mindig,always
talán,maybe
maga,itself
köszönöm,Thanks
semmi,nothing
hát,well
aki,who
amikor,when
hol,where
neki,him
szóval,so
neked,thee
ami,which
kis,small
hé,hey
tényleg,indeed
hiszem,believe
elég,enough
valamit,something
fog,tooth
lenne,would be
ó,He
igaz,true
rá,on it
vele,with him
milyen,what kind of
ilyen,such
ide,here
biztos,sure
uram,sir
őket,them
vissza,back
nagy,large
tudja,know
ma,today
egész,whole
sajnálom,I'm sorry
nos,married
mikor,when
vagyunk,we are
