Estonian,English
on,is
ma,I
ei,no
sa,SA
see,this
et,that
ja,and
ta,he
kui,if
seda,that
kas,whether
me,we
mis,which
mida,what
pole,no
jah,yeah
aga,but
oma,their
siis,then
nii,so
olen,I am
ära,away
oli,was
oled,you are
mu,my
siin,here
kõik,all
nad,they
selle,its
midagi,something
mind,me
te,you
mul,I have
mulle,me
minu,mine
kes,who
su,your
nüüd,now
sind,you
kuidas,how
ole,be
ka,as well as
mitte,not
välja,out
tema,her
nagu,as
mina,me
sinu,yours
miks,why
sulle,for you
veel,yet
või,or
meie,U.S
tagasi,back
sul,you
hea,good
küll,Hawk
sina,you
väga,very
teda,him, her
saa,get
seal,there
teie,your
lihtsalt,just
üks,one
need,these
kus,where
oleks,would be
palju,many
tea,know
teha,do
tead,knowing
siia,here
kuid,but
hästi,well
pärast,after
palun,please
tean,know
eest,for
olla,to be
sellest,thence
meil,U.S
tere,Hello
tule,come
juba,already
oleme,are
olgu,beyond
keegi,somebody
isa,father
ainult,only
peale,beyond
pean,must
tahad,want
neid,them
tahan,want
ju,after all
talle,her
kunagi,ever
sest,for
just,just
