Latvian,English
ir,have got
es,me
tu,you
un,and
tas,that
ka,how to
man,to me
to,their
vai,or
ko,what
ar,With
par,about
kas,who
tā,so
kā,how to
viņš,he
tev,you
jā,Yes
uz,to
no,from
mēs,we
nav,are not
labi,OK good
nē,no
bet,but
jūs,you
lai,in order
ja,Yes
viņa,his
mani,me
bija,It was
viņu,their
esmu,am
esi,are
tevi,you
mums,to us
ne,no
tikai,only
tad,then
viņi,they
kad,when
jums,you
arī,also
viss,everything
pie,near
kur,where
nu,Well
vēl,yet
tik,this much
jau,already
tur,there
te,here
kaut,something
būs,will be
paldies,thanks
visu,all
viņam,for him
tagad,now
pēc,after
šeit,here
kāpēc,why
būtu,would be
ļoti,very
savu,your own
mūsu,our
lūdzu,you are very welcome
taču,though
šo,this
gan,both
mans,my
ak,oh
kāds,someone
jūsu,your
zinu,know
daudz,lot of
jo,because
varbūt,maybe
esam,are
kungs,Mister
cik,how much
zini,know
tās,its
mana,my
tiešām,really
esat,have
domāju,think
pa,by
var,can
varētu,could
būt,to be
tam,for that
tāpēc,that's why
visi,all
nezinu,I do not know
šī,this
nekad,never
viens,single
līdz,up to
pat,even
aiziet,to leave
