Esperanto,English
la,the
mi,I
vi,you
ne,no
estas,is
kaj,and
ĉu,whether
de,of
al,to
ni,We
en,In
li,he
ke,that
por,For for
ĉi,this
tio,that
sed,but
ili,they
kiel,as
vin,you
tie,there there
pri,about
min,me
jes,Yes
kio,what
mia,my
kun,with
estis,was
kion,what
ĝi,it
povas,can
kiu,who
via,your
tiu,that one
ĝin,it it
ŝi,she
bone,ok
tion,that
se,If
volas,want to
havas,have
do,so
pli,More
nur,only
oni,one
nun,now
scias,know
kial,Why
devas,must
lin,him
el,from
kiam,when
unu,one
kie,where
ja,ja
jam,already
jen,Here is
tiel,Thus
nu,Well
da,da
sur,on
ankaŭ,also
pro,because of
tre,very much
per,by
ĉiuj,all
je,at
diris,said
aŭ,or
estos,will be
ilin,them
ho,oh
vian,your
tiun,that one
iru,go
ĉar,Because
nin,us
nia,our
plu,on
ĉio,everything
dum,while
mian,mine
sinjoro,sir
ankoraŭ,still
dankon,thanks
vere,really
esti,to be
eĉ,even
ĝis,up to
neniam,never
venu,Come on
eble,maybe
diras,says
dio,God
ion,something
du,two
antaŭ,before
ĉe,at
ĉiam,always
tiuj,those
